conditionCode,conditionName,applicable_gender,pediatric_assessment,presentingComplaint1,presentingComplaint2,presentingComplaint3,presentingComplaint4,presentingComplaint5,presentingComplaint6,presentingPart1,presentingPart2,presentingPart3,presentingPart4,presentingPart5,presentingPart6,assessmentQuery1,assessmentQuery2,assessmentQuery3,assessmentQuery4,assessmentQuery5,assessmentQuery6,assessmentQuery7,assessmentQuery8,source,auxilliaryQuery1,auxilliaryQuery2,auxilliaryQuery3,prevalence_DecisionWeight
C1,Hyperhidrosis,All,FALSE,Excessive sweating,sweating occurs even in cool air environments,Sweating interferes daily activities,"skin colour change,", skin irritation,,Palm,Soles,Underarms,face,,,When did excessive sweating begin,Has the severity of sweating change over time?,,Are there family members with excessive sweating ?,"Are there any triggers for the sweating like stress, anxiety?",,,,https://www.ncbi.nlm.nih.gov/books/NBK459227/,When did excessive sweating begin?,,,0.93-14%
C2,Bartholin's cyst,Female,FALSE,Swelling around vagina,Painless swelling,Mild painful swelling,,,,Genitals,Vagina,,,,,Is it painful while sitting or during intercourse?,Is there any Clear or white discharge from the swelling?,Any previous history of swelling around the vagina?,,,,,,https://www.uptodate.com/contents/bartholin-gland-masses?,,,,0.6 to 3 %
C3,Acanthosis Nigricans,All,FALSE,Dark pigmented skin patches,Velvety skin patches,Thickened skin,Itching in dark thick velvety patches ,,,Skin folds,Armpits,Groin,Neck,Axilla,,Is there any History of diabetes/diabetes Melitus?,Is there any History of hormonal disorders like cushing syndrome?,Do you have a high BMI or have been diagnosed with obesity?,Do you use OCP/oral contraceptive pills?,Do you have any blood relative with similar complaints?,Have you noticed increase inThirst or increase in frequency/volume of urination?,Is there any history of PCOS/PCOD?,Do you use steroids?,https://www.nih.gov,Do you have Insulin resistance?,,,7-14%
C4,Achalasia,All,FALSE,Vomiting,Unable to swaloow food,Unable to drink water,Heartburn,Chest pain,,Retrosternal ,Behind chest bone,,,,,Does the vomiting include undigested food?,,,,,,,,"https://www.uptodate.com/contents/bartholin-gland-masses?
https://bestpractice.bmj.com/topics/en-gb/872/epidemiology",,,," 8.0/100,000 to 27.1/100,000 individuals."
C5,Gastroesophageal reflux disease (GERD),All,FALSE,Heartburn,Chest pain,Regurgitation of food,,,,Retrosternal  ,Behind chest bone,,,,,Does heartburn occur most commonly after eating food?,,,,,,,,"https://www.uptodate.com/contents/clinical-manifestations-and-diagnosis-of-gastroesophageal-reflux-in-adults?
https://bestpractice.bmj.com/topics/en-gb/82/epidemiology",,,,"< 10% in Asian coutries
10 to 30% in Western countries"
C6,ACL injury,All,FALSE,Sudden popping sensation in knee,Pain in knee,Instability ior giving away feeling in knee,Difficulty in weight bearing on injured leg,feeling of knee locking or kee catching,,Knee,,,,,,When did the injury occur?,,Has the Injury occured during sport activity or non sport activity?,Have you had any previous knee injury in the same knee,Have you noticed swelling in the knee?,Is there pain in the knee?,Are you able to bear body weight on injured leg?,Have you noticed change in your knee's range of motion?,https://orthoinfo.aaos.org/globalassets/pdfs/pls_acl-injuries_7.28.23.pdf,,,,50% of knee injuries 
C7,Hidradenitis Suppurativa,All,FALSE,Painful boils ,Abscesses,Bumps,Scarring,,,Armpits,Groin,,,,,When did the lumps or boil first appear,,Do you have pain in the affected area,Have you noticed any scarring or changes in texture of affected skin part,Do you have Any health conditions like diabetes or autoimmune disease?,,,,https://my.clevelandclinic.org/health/diseases/17716-hidradenitis-suppurativa,How often do you experience flare ups,,,1-4%
C8,HIV/AIDS,All,FALSE,Fever,Fatigue,Prolonged myalgia,Skin Rash,,,,,,,,,Are your symptoms presenting for a prolonged duration?,Are you suffering from sore throat?,Do you have ulcers in mouth?,Do you have any enlarged lymph nodes?,,,,,,,,,
C9,Acromegaly,All,FALSE,Increasing shoe size,Large jaws,Large hands,Large feet,,,"Jaws, hands, and feets",,,,,,Has the shoe size increased?,Do you suddenly wakeup from your sleep due to shallow breathing?,Are you suffering from a headache?,Do you have any difficulty in seeing?,Do you have Type 2 diabetes?,,,,"https://www.uptodate.com/contents/causes-and-clinical-manifestations-of-acromegaly?
https://www.uptodate.com/contents/diagnosis-of-acromegaly?
https://bestpractice.bmj.com/topics/en-gb/522/epidemiology
",,,,5.9 cases per 100000
C10,Acute Coronary Syndrome,All,FALSE,Chest pain,Chest discomfort,Difficulty breathing,,,,Left side of chest,,,,,,Do you have difficulty in breathing,Did you get unconscious?,Is it a squeezing type of pain?,Do you Smoke?,Do you have a habit of drinking?,Does anyone in your family have the same problem?,,,https://bestpractice.bmj.com/topics/en-gb/148/history-exam,,,,40 to 60 %
C11,Acute Kidney Injury,All,FALSE,Decreased urine ,No urination,Swelling in legs,Difficulty in breathing ,Fatigue and weakness,Confusion ,Awareness of heartbeat,chest,,,,,When did you first notice a decrease in urination?,"have you experienced recent illness, injuries, or surgery ?",Are you taking any medications?,do you have any history of diabetes or heart disease?,Have you experienced recent change in weight loss or sppetite?,Do you have any history of kidney problem ?,,,https://www.ncbi.nlm.nih.gov/books/NBK441896/,Have you noticed any change in colour of urine?,Have you got Serum creatinine tested recently ,,1%
C12,Acute Liver Failure,All,FALSE,Jaundice or yellowing if skin and eyes,Stomachache ,Nausea and vomiting,confusion and altered mental status,Bleeding easily,Swollen abdomen or ascitis ,,,,,,,When did you fisrt notice these symptoms?,"have you experienced recent illness, injuries, or surgery ?",Are you taking any medications?,"Any history of hepatitis, cirrosis?",Any history of alcohol consumption?,,,,https://www.ncbi.nlm.nih.gov/books/NBK548171/,"Have you noticed recent changes in mental state such as confusion, disorientation ?",,,0.008
C13,Acute Sinusitis,All,FALSE,Blocked nose,Stuffy nose,Nasal discharge,Postnasal discharge,Loss of smell,,Face,,,,,,Is the discharge thick?,Does Facial pain increases on bending forward?,Do you have fever?,Do you have a Headache?,Do you have Ear pain or fullness of the ear?,,,,"https://www.uptodate.com/contents/acute-sinusitis-and-rhinosinusitis-in-adults-clinical-manifestations-and-diagnosis?
https://bestpractice.bmj.com/topics/en-gb/14/epidemiology",,,,16%
C14,Acute respiratory distress syndrome,All,FALSE,Difficulty in breathing,low oxygen level,coughing,chest pain,confusion or altered mental status,,,,,,,,did these symptoms develop over a short period of time like few hours to few days?, is the difficulty in breathing severe?,any history of recent illness or injury?,,,,,,https://www.cdc.gov,Have you noticed any changes in te colour of sputum ,,,0.08%
C15,Abnormal uterine bleeding,Female,FALSE,Menstrual irregularity,Bleeding between mensus,Bleeding after intercourse,,,,Pelvis ,Female genitalia,,,,,Do you use hormonal contarceptive pills?,Do you experience bleeding that last for more than a week?,Has excessive bleeding caused you to feel weak ?,are your periods more painful than usual ?,do uou experience bleeding after intercourse ?,,,,https://bestpractice.bmj.com/search?q=abnormal+uterine+bleeding&type=MONOGRAPH&from=0&page=1&searchLang=en-gb,Have you been diagnosed with underlying medical condition like thyroid or uterine fibroids?,,,"Heavy bleeeding- 10-30%
Post menopausal bleeding- 5-10%"
C16,Acute appendicitis,All,FALSE,Sudden pain,Fever,Vomiting,,,,Right lower quadrant,Right lower side of abdomen,Lower abdomen,,,,Did pain first start in mid abdomen and then radiated to right lower quadrant?,Is there any change in pain?,Does pain increase on movement and coughing?,Is your fever constant?,Are you not experiencing hunger?,Do you feel like vomiting most of the time?,,,https://bestpractice.bmj.com/topics/en-gb/3000094,Have your neutrophil levels gone up?,Are your CRP levels greater than 10 mg/dL?,,8%
C17,Acute asthma exacerbation in adults,All,FALSE,Wheezing sound,cough,Difficulty breathing,Chest tightness,,,Chest,,,,,,"Have you recenlty been exposed to any known allergens like smoke, dust, chemicals, pollens ?",Have you experienced any such asthma attacks in past,is there a family history of asthma or allergies,Have you suffered respiratory viral infection recenlty?,,,,,https://bestpractice.bmj.com/topics/en-gb/3000085?q=Acute%20asthma%20exacerbation%20in%20adults&c=suggested,"Have you used a peak flow meter recently, and has your peak flow reading decreased ?",,,10%
C18,Acute asthma exacerbation in kids,All,TRUE,Difficulty in breathing,wheezing or whistlisng sound,Increased cough,,,,chest,,,,,,Has the child recently had a cold ?,Has the child been recenlty exposed to smoke or dust?,"Is the child brerathing rapidly, or flaring nostrill more than normal ?",,,,,,https://bestpractice.bmj.com/topics/en-gb/1098?q=Acute%20asthma%20exacerbation%20in%20children&c=suggested,Is the child using any medication for asthma and is there any change in the medication recently?,,,10-20%
C19,Acute bronchitis,All,FALSE,Cough,Fever,Sputum,Wheeze,,,Thorax,CHest,,,,,Did the cough last for more than 21 days?,Does the cough get worse at night or with exercise?,Is your fever mild to moderate?,Do you have sputum?,Is your sputum clear?,Is there any sound when breathing out?,Have you recently suffered from cold?,,https://bestpractice.bmj.com/topics/en-gb/135,Do you have a habit of smoking?,Have you ever had a similar illness in the past?,,10%
C20,Acute cholecystitis,All,FALSE,Pain,Severe pain,Tenderness,Nausea,,,Upper right quadrant,Near liver,,,,,Is your pain constant and radiating to the back?,Do you feel any mass at the site of pain?,Do you experience pain in your right shoulder?,,,,,,https://bestpractice.bmj.com/topics/en-gb/3000084,Have you recently had any history of stones in your gall bladder?,Are your white blood cell (WBC) levels elevated?,Are your C-reactive protein (CRP) levels elevated?,11%
C21,Acute conjunctivitis,All,FALSE,Itching,Red,Watery discharge,Thick discharge,Swollen eyelids,,Eye,,,,,,Do your eyelids stick together in the morning?,Do you wear contact lenses?,,Do you experience the same illness at a specific time of year?,,,,,https://bestpractice.bmj.com/topics/en-gb/68,Have you been in contact with someone who has a similar illness?,Have you recently suffered from a common cold?,Have you recently been exposed to dust in the eye?,
C22,Acute cystitis,All,FALSE,Painful urination,Increased frequency of urination,Increased urgency to urinate,Pain over genital hairs,Fever,Pain over the flanks,Genitals,,,,,,Have you recently engaged in any sexual activity?,,,,,,,,https://bestpractice.bmj.com/topics/en-gb/298,Have you had a urinary catheter placed recently?,Do you have a history of previous urinary tract infections?,,"3 to 12.6% for womens
0.5 to 3% for men"
C23,Acute epididymitis,Male,FALSE,Pain ,Pain on touch,Swollen scrotum ,Painful urination ,Fever,,Scrotum ,Genitals,Testes,,,,Did the pain develop slowly? ,Do you have tenderness at the back of the scrotum? ,Is your scrotum hot to touch? ,Has the color of your scrotum changed to red compared to normal?,,,,,https://bestpractice.bmj.com/topics/en-gb/186,Do you have a recent history of multiple sex partners? ,Do you have a recent history of anal intercourse?,Have you had a urinary catheter placed recently?,0.90%
C24,Acute otitis media,All,FALSE,ear pain,feeling of fullness in ear,fever,fluid draining from ear,,,ear,,,,,,Any history of recent throat infection or cold?,Any history of adenoid enlargement?,Any history of sinusitis?,,,,,,https://bestpractice.bmj.com/topics/en-gb/39,Have you got any dental procedure done recently?,Have you recently got ear examination done and bulging membrane was found by the doctor?,,2.3-20% in adults and 60-80% in children
C25,Acute pancreatitis,All,FALSE,Severe upper abdomen pain,pain after eating,fever,Nausea and vomiting,,,upper abdomen,,,,,,Is there any history of gallstones?,Is there history of hypertriglyceridemia?,Has the patient recently undergone surgery ?,,,,,,https://bestpractice.bmj.com/topics/en-gb/3000118,Have you got serum lipase lipase level checked recently and are they high ?,,,0.03%
C26,Acute pharyngitis,All,FALSE,Sore throat ,Difficulty swallowing ,fever,Cough,,,Throat,,,,,,Is there any nasal congestion or runny nose ?,Is there any history of tonsillitis ?,,,,,,,https://bestpractice.bmj.com/topics/en-gb/5,Are there any reddish spots on the back of throat?,,,60%
C27,Allergic rhinitis,All,FALSE,Sneezing ,Itchy nose ,Runny nose ,Blocked nose,,,,,,,,,"Do you have an itchy palate, throat, ear, or eye? ",Are your eyes red and swollen? ,Do you have a watery discharge from your eye?,,,,,,https://bestpractice.bmj.com/topics/en-gb/232,Is your age less than 20 years? ,Does anyone in your family have a history of genetic tendency to develop allergic disorders when exposed to some allergens? ,Did you have inadequate exposure to animals or dust in childhood?,"14% in adults
7% in childrens"
C28,Alopecia areata,All,FALSE,Hair loss,Round patches of hair loss,Stress ,,,,Scalp,Skin,,,,,Is there any family history of any autoimmune disease?,Do you have any other autoimmune disease ?,Is there any a history of thyroid disease other hormonal imbalance?,,,,,,https://bestpractice.bmj.com/topics/en-gb/222?q=Alopecia%20areata&c=suggested,Is there single hair remaining in the center of the patch of hair loss?,,,0.70%
C29, Alzheimer's disease,All,FALSE,Memory loss ,Feeling sleepy ,Depression ,Irritability,,,,,,,,,Do you often forget recent events? ,Do you frequently misplace items?, Do you get lost when you're out by yourself? ,Do you struggle with cooking and shopping?, Do you have trouble naming objects or people?,,,,https://bestpractice.bmj.com/topics/en-gb/317,Are you over 65 years old? ,Has anyone else in your family experienced similar symptoms? ,Do you smoke or used to smoke or consume 14 units of alcohol per week?,"5% < 70 years
30% > 80 years"
C30,Anemia,All,FALSE,Fever,Night sweats ,Loss of appetite ,Unintentional weight loss ,Weakness ,Body pain  and Shortness of breath,Eyes,Skin,,,,,Do you have dark-colored stools? ,Have you vomited blood recently? ,Did you experience heavy blood loss during menstruation?, Have you had any recent accidents or infections? ,Do you feel a mass in your abdomen than usual? ,Do you have a history of alcohol intake?,"Do you have yellow-white colored nails, tongue, or under the skin of your eyelid?",,https://bestpractice.bmj.com/topics/en-gb/95,Is your hemoglobin level less than 12 g/dL? ,,,10 to 11%
C31,Anal fissure,All,FALSE,Pian on passing stool,Blood in stool,Itching near anal area,,,,Anus,,,,,,Is there any sharp and tearing pain during bowel?,Is the blood in stool bright red in colour?,Does the pain improve after passing stool?,Do youb have constipation?,,,,,,Is there any tear near anus?,,,4%
C32,Anal cancer,All,FALSE,pain in anal area,Blood in stool,,,,,Anus,,,,,,"have you nioticed changes in bowel habits have become frequent like diarrhea, constipation?",Are you experiencing any discharge from anus?,Have you noticed a mass near anus?,Are you experiencing bleeding from anus?,,,,,https://bestpractice.bmj.com/topics/en-gb/1183?q=Anal%20cancer&c=suggested,Doest the pain radiate to other parts of buttocks or perineum ?,,,1%
C33,Androgenetic alopecia,Male,FALSE,Hair loss from scalp,Hair thinning,,,,,Scalp,,,,,,Is your hair thining or becoming finer?,Are you having hair loss particularly in the crown or frontal hairline?,Do you have a family history of hairloss?,,,,,,https://bestpractice.bmj.com/topics/en-gb/223?q=Androgenetic%20alopecia&c=suggested,Is you hair loss affecting your self-esteem or confidence?,Do you notice any changes in menstrual cycle or fertility?,,58% in males and 23% in females
C34,Angular cheilitis,All,FALSE,Pain ,Pruritis,Crack,Redness ,Crust,,Angle of the mouth ,Corner of the lips,,,,,Do you have diabetes? ,Do you use dentures?,Is your immunity low? ,Recent history of candidiasis? ,Do you have any skin problems? ,,,,https://bestpractice.bmj.com/topics/en-gb/619,s your age above 75 years?,,,7 per 1000
C35,Anorectal abscess,All,FALSE,Pain in anus or buttocks,Pain in passing stool,fever ,swelling near anus,,,Anus,Buttocks,,,,,Do you have pain near anus?,Do you have a swelling or pus discharge near your anus?,Is there a history of constipation?,Do you have a history of anal intercourse?,,,,,https://bestpractice.bmj.com/topics/en-gb/644?q=Anorectal%20abscess&c=suggested,Do you have a history of Crohn's disease or ulcerative colitis?,,,
C36,Anorexia nervosa,All,FALSE,Fear of gaining weight,Tiredness,Poor concentration,Dizziness ,Abdominal fullness,Bloating and constipation.,Female,,,,,,Do you have a fear of gaining weight or becoming fat?,Do you experience irrational thoughts about your body's actual size and shape?,Do you have a restricted calorie intake of 300-700 kcal?,Do you have absent menstrual periods?,"Do your bony structures, such as collar bones, vertebrae, coccyx, and hip bone, protrude dramatically?",Do you misuse laxatives or diet pills?,Do you have dry skin and cracked nails?,,https://bestpractice.bmj.com/topics/en-gb/440,Is your body mass index (BMI) less than 18.5 kg/m²?,Do you voluntarily induce vomiting using your fingers after meals?,Are you overly concerned with your body's appearance?,1.40%
C37,Asthma in adults,All,FALSE,Wheezing sound,Coughing,Difficulty breathing,Chest tightness,Allergies,,chest,,,,,,"Does your wheezing worsen on exposure to smoke, pollutionm, strong odours?",Have you ever experienced a severe breathing difficulty ?,Do you have a family history of asthma or allergies?,"Have you ever been diagnosed with GERD, Sinusitis?",,,,,https://bestpractice.bmj.com/topics/en-gb/44?q=Asthma%20in%20adults&c=recentlyviewed,,,,2%
C38,Asthma in children,All,TRUE,Wheezing sound,Coughing,Difficulty breathing,Allergies,,,chest,,,,,,"Does wheezing or cough increase after exposure to dust, irritants, smoke, pollen?",Has the child ever experienced severe breathing difficulty attack?,Does the child have a family history of asthma or allergies?,,,,,,https://bestpractice.bmj.com/topics/en-gb/782?q=Asthma%20in%20children&c=suggested,Is the child on any medications?,,,7.90%
C39,Astigmatism,All,FALSE,Blurred vision,Eye strain ,Forehead pain ,Tearing,,,Eye,,,,,,Any history of eye trauma? ,Any history of eye surgeries? ,Do you have Down's syndrome or Treacher-Collins syndrome? ,Is there any eyelid swelling?,,,,,https://bestpractice.bmj.com/topics/en-gb/762,,,,"14.9% in childrens
40.4% in adults"
C40,Attention deficit hyperactivity disorder in adults,All,FALSE,Anxiety ,Mood changes ,Change in personality ,Excessive talking ,Unable to concentrate,,,,,,,,Do you often feel restless? ,Did these symptoms start before the age of 12 years?,Do you enjoy participating in activities that involve physical risk or extreme sports? ,Are you weak in academics? , Do you have a habit of drinking or drug abuse?, Do you have difficulty paying attention to the given task? ,Do you tend to forget things important for a task?,Do you have problems with authority leading to multiple job terminations?,https://bestpractice.bmj.com/topics/en-gb/814,History of similar illness in the family?,,,4%
C41,Attention deficit hyperactivity disorder in children,All,TRUE,Irritability,Boredom ,Anxiety, Low self-esteem ,Memory impairment,,,,,,,,Does your child often talk excessively?,Does your child have difficulty giving close attention to details or making 'careless' mistakes in schoolwork? ,Does your child have difficulty sustaining attention in tasks or play activities?, Does your child not listen when spoken to directly? ,Does your child fail to follow through on instructions and fail to finish schoolwork or chores? ,Does your child forget to do daily activities? ,Does your child run about or climb excessively during inappropriate situations?,,https://bestpractice.bmj.com/topics/en-gb/142,History of similar illness in the family?,Did the mother smoke during pregnancy?,Was the baby born with low birth weight?,5.29%
C42,Pneumonia,All,FALSE,Cough,Phlegm,Difficulty breathing,Fever,Chest pain,,chest,,,,,,"Do you notice thick green, yellow or rusty phlegm/sputum?",Do you have frequent respiratory infections?,"Do you have any underlting conditions such as COPD, asthma ?",,,,,,https://bestpractice.bmj.com/topics/en-gb/3000108?q=Community-acquired%20pneumonia%20in%20adults%20(non%20COVID-19)&c=suggested,Do you smoke cigarettes?,Is you age above 65 years?,,Community aquired- 0.24%
C43,Spondyloarthritis,All,FALSE,Lower back pain,Pain in Hips ,Pain in shoulders,,,,Back,,,,,,Is the pain worse in the morning and improves gradually?,Is the pain asscoiated with stiffness in joint?,Is there a family history of spondyloarthritis or other autoimmune diseases?,Is there any pain in heels?,Have you had any pain in lower back or hips when you wake up or after you sit for loing time?,,,,https://bestpractice.bmj.com/topics/en-gb/366,Have you had any eye problems like  redness or blurry vision ?,Have you any rash on skin?,Have you been tested for the HLA-B27?,"7/10,000 persons"
C44,Meningitis ,All,FALSE,Fever ,Headache ,Nausea and vomiting ,Fits ,Change in mental state,,,,,,,,Have you experienced very high fever recently?,Doest your neck hurt to move neck or head?,Do yoi have severe headache?,Are you feeling senstivie towards light?,"Have you niticed confusuion, of loss of consciousnesses ?",Have you had any seizures?,,,https://bestpractice.bmj.com/topics/en-gb/111?q=Overview%20of%20meningitis&c=suggested,Have you recently had respiratory illness?,Did you complete your vaccination schedule for essential vaccines?,,1-2%
C45,Basal cell carcinoma,All,FALSE,Swelling,Non-healing wounds,,,,,,,,,,,Did the swelling burst and turn into a non-healing ulcer?,"Is the swelling located on your face, back of the neck, or scalp?",Do you live in a sunny and dry area?,Do you frequently go on sunny holidays?,Does your occupation involve outdoor work?,,,,https://bestpractice.bmj.com/topics/en-gb/269,Is the swelling raised from the skin?,Are there fine red lines at the ends of the swelling?,,
C46,Bell's Palsy,All,FALSE,Heaviness on one side of the face,Unable to close eye,Unable to move cheek,Mild pain,Moderate pain,Severe pain,Face,,,,,,Did your symptoms appear suddenly?,Do you experience symptoms on just one side of your face?,"Are you experiencing fever, headache, or body pain?",Do you have pain in your ear or behind your ear?,,,,,https://bestpractice.bmj.com/topics/en-gb/118,Has this occurred to you previously? ,Recent History of vaccination taken through the nose? ,Has anyone in your family had a similar illness?,"23-32 cases per 100,000 per year"
C47,Bening paroxysmal positional vertigo,All,FALSE,Dizziness,Spinning sensation,Nausea,,,,,,,,,,"Does the dizziness occur when you change you head position such as rolling on bed, getting up, looking up?",Are you over age of 50 years?,Have you had any history of inner ear infections or other ear disorders?,Are you taking any medications that might affect your balance or inner ear?,,,,,https://bestpractice.bmj.com/topics/en-gb/73?q=Benign%20paroxysmal%20positional%20vertigo&c=suggested,Have you undergone a Dix-Hallpike maneuver?,,,Female- 3.2% male- 1.6%
C48,Bladder cancer,All,FALSE,Blood in urine,Burning sensation while urinating,,,,,,,,,,,Does it pain or burn while urinating?,"Do you work in rubber/dye, coal/oil/petroleum, roofing, firefighting, painting, or hairdressing industries? ",,,,,,,https://bestpractice.bmj.com/topics/en-gb/980,Have you had a urine test confirming blood in the urine?,Do you have a habit of smoking? ,Are you over 65 years old? ,"1.1% Male, 
0.27% in women"
C49,Blepharitis,All,FALSE,Discomfort,Foreign body sensation,Burning,Itching,Crusting around eyelashes,,Eye,,,,,,Are you experiencing symptoms in both eyes?,Has the color of your eyelids changed to red?,Do you have crusty wax around your eyelashes?,Is the brown part of your eye transparent?,Do you have swelling at the inner part of your eyelid? ,,,,https://bestpractice.bmj.com/topics/en-gb/574,,,,8.80%
C50,Bronchiectasis,All,FALSE,Cough,Sputum,Difficulty breathing while working,Fever,Stuffed nose,Fatigue,Chest,,,,,,Does your cough worsen when lying flat or on one side? ,Does your sputum contain blood?,Does it pain when you touch the area around your nose?,Have you lost weight?,Do you have a weak immunity?,,,,https://bestpractice.bmj.com/topics/en-gb/1007,Have you ever had this illness before?,Can you hear musical sounds when you breathe in or out?,,
C51,Bronchiolitis,All,TRUE,Cough,Fast breathing,Noisy breathing,Irritability,Poor feeding,Low fever,Chest,,,,,,Did the cough worsen over time?,Did you notice any widening of nostrils while the child is breathing?,Do you notice the skin around the chest or ribs sinking in when the child breathes?,Has your child had a runny nose before?,Does your child usually get these symptoms in the winter season?,,,,https://bestpractice.bmj.com/topics/en-gb/28,Is your child less than 3 years old?,Fever less than 104 degrees F,Was there any maternal smoking during pregnancy?,
C52,Bulimia nervosa,All,FALSE,Binge eating,Fluctuations in wieght,Body dissatisfaction,,,,,,,,,,Do you feel ashamed or guilty about your eating behaviors?,Do you often eat alone or in secret?,"Do you experience fatigue, muscle weakness or irregular heartbeat?","Do you regularly engage in self-induced vomiting, or excessive exercise?",,,,,https://bestpractice.bmj.com/topics/en-gb/441?q=Bulimia%20nervosa&c=suggested,"Do you use substance, drug, alcohol to cope with your eating problems?",,,0.40%
